Platform,File Name,Class,Start Line,End Line,Displacement,Level
chatgpt,gpt-101.py,Simple If statements,8,9,0,A1
chatgpt,gpt-102.py,Simple List,3,3,14,A1
chatgpt,gpt-102.py,Print,9,9,0,A1
chatgpt,gpt-102.py,Simple Atributte,6,6,0,A2
chatgpt,gpt-102.py,Simple Assignment,2,2,0,A1
chatgpt,gpt-102.py,Simple Assignment,3,3,0,A1
chatgpt,gpt-103.py,Print,12,12,0,A1
chatgpt,gpt-103.py,Simple Atributte,6,6,15,A2
chatgpt,gpt-103.py,Simple Assignment,2,2,0,A1
chatgpt,gpt-103.py,Simple Assignment,3,3,0,A1
chatgpt,gpt-103.py,Simple Assignment,6,6,0,A1
chatgpt,gpt-104.py,Print,12,12,0,A1
chatgpt,gpt-104.py,Simple Atributte,6,6,15,A2
chatgpt,gpt-104.py,Simple Assignment,2,2,0,A1
chatgpt,gpt-104.py,Simple Assignment,3,3,0,A1
chatgpt,gpt-104.py,Simple Assignment,6,6,0,A1
chatgpt,gpt-105.py,Print,9,9,0,A1
chatgpt,gpt-105.py,Simple Atributte,6,6,0,A2
chatgpt,gpt-105.py,Simple Assignment,2,2,0,A1
chatgpt,gpt-105.py,Simple Assignment,3,3,0,A1
chatgpt,gpt-106.py,Print,8,8,0,A1
chatgpt,gpt-106.py,Simple Atributte,5,5,0,A2
chatgpt,gpt-106.py,Simple Assignment,2,2,0,A1
chatgpt,gpt-107.py,Print,12,12,0,A1
chatgpt,gpt-107.py,Simple Atributte,6,6,17,A2
chatgpt,gpt-107.py,Simple Assignment,2,2,0,A1
chatgpt,gpt-107.py,Simple Assignment,3,3,0,A1
chatgpt,gpt-107.py,Simple Assignment,6,6,0,A1
chatgpt,gpt-108.py,Print,10,10,4,A1
chatgpt,gpt-108.py,Print,11,11,4,A1
chatgpt,gpt-108.py,Print,13,13,4,A1
chatgpt,gpt-108.py,Simple Atributte,6,6,18,A2
chatgpt,gpt-108.py,Simple Assignment,2,2,0,A1
chatgpt,gpt-108.py,Simple Assignment,3,3,0,A1
chatgpt,gpt-108.py,Simple Assignment,6,6,0,A1
chatgpt,gpt-108.py,Simple If statements,9,13,0,A1
chatgpt,gpt-109.py,Print,12,12,0,A1
chatgpt,gpt-109.py,Simple Atributte,6,6,25,A2
chatgpt,gpt-109.py,Simple Atributte,9,9,0,A2
chatgpt,gpt-109.py,Simple Assignment,2,2,0,A1
chatgpt,gpt-109.py,Simple Assignment,3,3,0,A1
chatgpt,gpt-109.py,Simple Assignment,6,6,0,A1
chatgpt,gpt-11.py,Print,7,7,0,A1
chatgpt,gpt-11.py,Simple Atributte,5,5,9,A2
chatgpt,gpt-11.py,Simple Assignment,2,2,0,A1
chatgpt,gpt-11.py,Simple Assignment,5,5,0,A1
chatgpt,gpt-110.py,Print,9,9,0,A1
chatgpt,gpt-110.py,Simple Atributte,6,6,0,A2
chatgpt,gpt-110.py,Simple Assignment,2,2,0,A1
chatgpt,gpt-110.py,Simple Assignment,3,3,0,A1
chatgpt,gpt-111.py,Simple Tuple,1,1,9,A1
chatgpt,gpt-111.py,Print,3,3,0,A1
chatgpt,gpt-111.py,Simple Assignment,1,1,0,A1
chatgpt,gpt-111.py,Simple Assignment,2,2,0,A1
chatgpt,gpt-112.py,Simple List,1,1,20,A1
chatgpt,gpt-112.py,3 Nested Tuple,1,1,9,A2
chatgpt,gpt-112.py,Simple Tuple,1,1,34,A1
chatgpt,gpt-112.py,Print,3,3,0,A1
chatgpt,gpt-112.py,Simple Assignment,1,1,0,A1
chatgpt,gpt-112.py,Simple Assignment,2,2,0,A1
chatgpt,gpt-113.py,Simple Tuple,1,1,20,A1
chatgpt,gpt-113.py,Print,2,2,0,A1
chatgpt,gpt-113.py,Simple Assignment,1,1,0,A1
chatgpt,gpt-114.py,Simple Tuple,1,1,9,A1
chatgpt,gpt-114.py,Simple Tuple,4,4,0,A1
chatgpt,gpt-114.py,Print,7,7,0,A1
chatgpt,gpt-114.py,Print,8,8,0,A1
chatgpt,gpt-114.py,Print,9,9,0,A1
chatgpt,gpt-114.py,Print,10,10,0,A1
chatgpt,gpt-114.py,Simple Assignment,1,1,0,A1
chatgpt,gpt-114.py,Simple Assignment,4,4,0,A1
chatgpt,gpt-115.py,Simple Tuple,1,1,9,A1
chatgpt,gpt-115.py,Simple Tuple,2,2,9,A1
chatgpt,gpt-115.py,Simple Tuple,5,5,0,A1
chatgpt,gpt-115.py,Simple Tuple,5,5,17,A1
chatgpt,gpt-115.py,Print,8,8,0,A1
chatgpt,gpt-115.py,Print,9,9,0,A1
chatgpt,gpt-115.py,Simple Assignment,1,1,0,A1
chatgpt,gpt-115.py,Simple Assignment,2,2,0,A1
chatgpt,gpt-115.py,Simple Assignment,5,5,0,A1
chatgpt,gpt-116.py,Simple Tuple,1,1,9,A1
chatgpt,gpt-116.py,Simple Tuple,4,4,9,A1
chatgpt,gpt-116.py,Print,7,7,0,A1
chatgpt,gpt-116.py,Simple Assignment,1,1,0,A1
chatgpt,gpt-116.py,Simple Assignment,4,4,0,A1
chatgpt,gpt-117.py,Simple List,1,1,14,A1
chatgpt,gpt-117.py,Simple Tuple,1,1,9,A1
chatgpt,gpt-117.py,Print,7,7,0,A1
chatgpt,gpt-117.py,Simple Assignment,1,1,0,A1
chatgpt,gpt-117.py,Simple Assignment,4,4,0,A1
chatgpt,gpt-118.py,16 Nested Tuple,1,1,9,A2
chatgpt,gpt-118.py,Simple Tuple,1,1,10,A1
chatgpt,gpt-118.py,Simple Tuple,1,1,21,A1
chatgpt,gpt-118.py,Simple Tuple,1,1,32,A1
chatgpt,gpt-118.py,Simple Tuple,1,1,43,A1
chatgpt,gpt-118.py,Print,7,7,0,A1
chatgpt,gpt-118.py,Simple Assignment,1,1,0,A1
chatgpt,gpt-118.py,Simple Assignment,4,4,0,A1
chatgpt,gpt-118.py,Lambda,4,4,40,B1
chatgpt,gpt-119.py,Simple Tuple,1,1,9,A1
chatgpt,gpt-119.py,Print,7,7,0,A1
chatgpt,gpt-119.py,Simple Atributte,4,4,11,A2
chatgpt,gpt-119.py,Simple Assignment,1,1,0,A1
chatgpt,gpt-119.py,Simple Assignment,4,4,0,A1
chatgpt,gpt-12.py,Print,19,19,0,A1
chatgpt,gpt-12.py,Print,20,20,0,A1
chatgpt,gpt-12.py,Simple Assignment,17,17,0,A1
chatgpt,gpt-12.py,Simple Assignment,18,18,0,A1
chatgpt,gpt-12.py,Simple Assignment,2,2,4,A1
chatgpt,gpt-12.py,Simple Assignment,6,6,8,A1
chatgpt,gpt-12.py,Assigment with sum (total = total + 1),9,9,8,A1
chatgpt,gpt-12.py,Assigment with sum (total = total + 1),12,12,8,A1
chatgpt,gpt-12.py,Simple If statements,5,12,4,A1
chatgpt,gpt-12.py,Simple If statements,8,12,4,A1
chatgpt,gpt-12.py,Function with Simple argument,1,14,0,A1
chatgpt,gpt-12.py,Return,14,14,4,A1
chatgpt,gpt-120.py,Simple Tuple,1,1,9,A1
chatgpt,gpt-120.py,Print,7,7,0,A1
chatgpt,gpt-120.py,Generator Expression,4,4,14,C1
chatgpt,gpt-120.py,Simple Assignment,1,1,0,A1
chatgpt,gpt-120.py,Simple Assignment,4,4,0,A1
chatgpt,gpt-121.py,Print,10,10,0,A1
chatgpt,gpt-121.py,Simple Atributte,4,4,6,A2
chatgpt,gpt-121.py,Simple Atributte,7,7,16,A2
chatgpt,gpt-121.py,Simple Assignment,4,4,0,A1
chatgpt,gpt-121.py,Simple Assignment,7,7,0,A1
chatgpt,gpt-121.py,From,1,1,0,A2
chatgpt,gpt-122.py,Print,13,13,0,A1
chatgpt,gpt-122.py,Print,17,17,0,A1
chatgpt,gpt-122.py,Simple Atributte,10,10,15,A2
chatgpt,gpt-122.py,Simple Atributte,16,16,21,A2
chatgpt,gpt-122.py,Simple Assignment,4,4,0,A1
chatgpt,gpt-122.py,Simple Assignment,7,7,0,A1
chatgpt,gpt-122.py,Simple Assignment,10,10,0,A1
chatgpt,gpt-122.py,Simple Assignment,16,16,0,A1
chatgpt,gpt-122.py,From,1,1,0,A2
chatgpt,gpt-123.py,Print,13,13,0,A1
chatgpt,gpt-123.py,Print,17,17,0,A1
chatgpt,gpt-123.py,Print,30,30,0,A1
chatgpt,gpt-123.py,Simple Atributte,10,10,15,A2
chatgpt,gpt-123.py,Simple Atributte,16,16,21,A2
chatgpt,gpt-123.py,Simple Atributte,30,30,19,A2
chatgpt,gpt-123.py,Simple Assignment,4,4,0,A1
chatgpt,gpt-123.py,Simple Assignment,7,7,0,A1
chatgpt,gpt-123.py,Simple Assignment,10,10,0,A1
chatgpt,gpt-123.py,Simple Assignment,16,16,0,A1
chatgpt,gpt-123.py,Simple Assignment,21,21,0,A1
chatgpt,gpt-123.py,Simple Assignment,24,24,0,A1
chatgpt,gpt-123.py,Assigment with sum (total = total + 1),27,27,0,A1
chatgpt,gpt-123.py,From,1,1,0,A2
chatgpt,gpt-123.py,From,18,18,0,A2
chatgpt,gpt-124.py,Print,10,10,0,A1
chatgpt,gpt-124.py,Simple Atributte,7,7,17,A2
chatgpt,gpt-124.py,Simple Assignment,4,4,0,A1
chatgpt,gpt-124.py,Simple Assignment,7,7,0,A1
chatgpt,gpt-124.py,From,1,1,0,A2
chatgpt,gpt-125.py,Print,10,10,0,A1
chatgpt,gpt-125.py,Simple Atributte,7,7,14,A2
chatgpt,gpt-125.py,Simple Assignment,4,4,0,A1
chatgpt,gpt-125.py,Simple Assignment,7,7,0,A1
chatgpt,gpt-125.py,From,1,1,0,A2
chatgpt,gpt-127.py,Print,10,10,0,A1
chatgpt,gpt-127.py,Simple Atributte,4,4,23,A2
chatgpt,gpt-127.py,Simple Assignment,4,4,0,A1
chatgpt,gpt-127.py,Simple Assignment,7,7,0,A1
chatgpt,gpt-127.py,Import,1,1,0,A2
chatgpt,gpt-128.py,Print,10,10,0,A1
chatgpt,gpt-128.py,Simple Atributte,7,7,17,A2
chatgpt,gpt-128.py,Simple Assignment,4,4,0,A1
chatgpt,gpt-128.py,Simple Assignment,7,7,0,A1
chatgpt,gpt-128.py,From,1,1,0,A2
chatgpt,gpt-129.py,Print,11,11,0,A1
chatgpt,gpt-129.py,Simple Atributte,5,5,13,A2
chatgpt,gpt-129.py,Simple Assignment,5,5,0,A1
chatgpt,gpt-129.py,Assigment with sum (total = total + 1),8,8,0,A1
chatgpt,gpt-129.py,From,1,1,0,A2
chatgpt,gpt-129.py,From,2,2,0,A2
chatgpt,gpt-13.py,'range' call function,2,2,9,A2
chatgpt,gpt-13.py,'range' call function,3,3,13,A2
chatgpt,gpt-13.py,Print,6,6,4,A1
chatgpt,gpt-13.py,Print,5,5,8,A1
chatgpt,gpt-13.py,1 Nested For Loop,2,6,0,A2
chatgpt,gpt-13.py,Simple For Loop,3,5,4,A1
chatgpt,gpt-130.py,Print,14,14,0,A1
chatgpt,gpt-130.py,Simple Atributte,11,11,17,A2
chatgpt,gpt-130.py,Simple Assignment,4,4,0,A1
chatgpt,gpt-130.py,Simple Assignment,5,5,0,A1
chatgpt,gpt-130.py,Assigment with sum (total = total + 1),8,8,0,A1
chatgpt,gpt-130.py,Simple Assignment,11,11,0,A1
chatgpt,gpt-130.py,From,1,1,0,A2
chatgpt,gpt-131.py,Print,7,7,8,A1
chatgpt,gpt-131.py,Print,8,8,8,A1
chatgpt,gpt-131.py,Simple Atributte,12,12,0,A2
chatgpt,gpt-131.py,Simple Atributte,15,15,0,A2
chatgpt,gpt-131.py,Simple Atributte,3,3,8,A2
chatgpt,gpt-131.py,Simple Atributte,4,4,8,A2
chatgpt,gpt-131.py,Simple Atributte,7,7,28,A2
chatgpt,gpt-131.py,Simple Atributte,8,8,26,A2
chatgpt,gpt-131.py,Simple Assignment,11,11,0,A1
chatgpt,gpt-131.py,Simple Assignment,14,14,0,A1
chatgpt,gpt-131.py,Simple Assignment,3,3,8,A1
chatgpt,gpt-131.py,Simple Assignment,4,4,8,A1
chatgpt,gpt-131.py,Function with Simple argument,2,4,4,A1
chatgpt,gpt-131.py,Function with Simple argument,6,8,4,A1
chatgpt,gpt-131.py,Simple Class  Using the constructor method --> __init__,1,8,0,B1
chatgpt,gpt-132.py,'pass' statement,2,2,4,B1
chatgpt,gpt-132.py,Simple Class ,1,2,0,B1
chatgpt,gpt-133.py,Print,8,8,8,A1
chatgpt,gpt-133.py,Simple Atributte,15,15,0,A2
chatgpt,gpt-133.py,Simple Atributte,3,3,8,A2
chatgpt,gpt-133.py,Simple Atributte,4,4,8,A2
chatgpt,gpt-133.py,Simple Atributte,5,5,8,A2
chatgpt,gpt-133.py,Simple Atributte,8,8,31,A2
chatgpt,gpt-133.py,Simple Atributte,8,8,50,A2
chatgpt,gpt-133.py,Simple Atributte,8,8,76,A2
chatgpt,gpt-133.py,Simple Assignment,14,14,0,A1
chatgpt,gpt-133.py,Simple Assignment,3,3,8,A1
chatgpt,gpt-133.py,Simple Assignment,4,4,8,A1
chatgpt,gpt-133.py,Simple Assignment,5,5,8,A1
chatgpt,gpt-133.py,'pass' statement,11,11,4,B1
chatgpt,gpt-133.py,Function with Simple argument,2,5,4,A1
chatgpt,gpt-133.py,Function with Simple argument,7,8,4,A1
chatgpt,gpt-133.py,Simple Class  Using the constructor method --> __init__,1,8,0,B1
chatgpt,gpt-133.py,Inherited Class from Vehicle,10,11,0,B1
chatgpt,gpt-134.py,Print,16,16,0,A1
chatgpt,gpt-134.py,Simple Atributte,3,3,8,A2
chatgpt,gpt-134.py,Simple Atributte,4,4,8,A2
chatgpt,gpt-134.py,Simple Atributte,5,5,8,A2
chatgpt,gpt-134.py,Simple Atributte,16,16,6,A2
chatgpt,gpt-134.py,Simple Atributte,8,8,44,A2
chatgpt,gpt-134.py,Simple Assignment,15,15,0,A1
chatgpt,gpt-134.py,Simple Assignment,3,3,8,A1
chatgpt,gpt-134.py,Simple Assignment,4,4,8,A1
chatgpt,gpt-134.py,Simple Assignment,5,5,8,A1
chatgpt,gpt-134.py,Function with Simple argument,2,5,4,A1
chatgpt,gpt-134.py,Function with Simple argument,7,8,4,A1
chatgpt,gpt-134.py,Function with Simple argument with Default argument,11,12,4,A2
chatgpt,gpt-134.py,Return,8,8,8,A1
chatgpt,gpt-134.py,Return,12,12,8,A1
chatgpt,gpt-134.py,Simple Class  Using the constructor method --> __init__,1,8,0,B1
chatgpt,gpt-134.py,Inherited Class from Vehicle,10,12,0,B1
chatgpt,gpt-135.py,Print,11,11,8,A1
chatgpt,gpt-135.py,Simple Atributte,24,24,0,A2
chatgpt,gpt-135.py,Simple Atributte,25,25,0,A2
chatgpt,gpt-135.py,Simple Atributte,6,6,8,A2
chatgpt,gpt-135.py,Simple Atributte,7,7,8,A2
chatgpt,gpt-135.py,Simple Atributte,8,8,8,A2
chatgpt,gpt-135.py,Simple Atributte,11,11,24,A2
chatgpt,gpt-135.py,Simple Atributte,11,11,52,A2
chatgpt,gpt-135.py,Simple Atributte,11,11,72,A2
chatgpt,gpt-135.py,Simple Atributte,11,11,99,A2
chatgpt,gpt-135.py,Simple Assignment,20,20,0,A1
chatgpt,gpt-135.py,Simple Assignment,21,21,0,A1
chatgpt,gpt-135.py,Simple Assignment,3,3,4,A1
chatgpt,gpt-135.py,Simple Assignment,6,6,8,A1
chatgpt,gpt-135.py,Simple Assignment,7,7,8,A1
chatgpt,gpt-135.py,Simple Assignment,8,8,8,A1
chatgpt,gpt-135.py,'pass' statement,14,14,4,B1
chatgpt,gpt-135.py,'pass' statement,17,17,4,B1
chatgpt,gpt-135.py,Function with Simple argument,5,8,4,A1
chatgpt,gpt-135.py,Function with Simple argument,10,11,4,A1
chatgpt,gpt-135.py,Simple Class ,1,11,0,B1
chatgpt,gpt-135.py,Inherited Class from Vehicle,13,14,0,B1
chatgpt,gpt-135.py,Inherited Class from Vehicle,16,17,0,B1
chatgpt,gpt-136.py,Print,20,20,0,A1
chatgpt,gpt-136.py,Super Function,13,13,20,C2
chatgpt,gpt-136.py,Simple Atributte,3,3,8,A2
chatgpt,gpt-136.py,Simple Atributte,4,4,8,A2
chatgpt,gpt-136.py,Simple Atributte,5,5,8,A2
chatgpt,gpt-136.py,Simple Atributte,20,20,28,A2
chatgpt,gpt-136.py,Simple Atributte,8,8,15,A2
chatgpt,gpt-136.py,Simple Atributte,13,13,20,A2
chatgpt,gpt-136.py,Simple Assignment,19,19,0,A1
chatgpt,gpt-136.py,Simple Assignment,3,3,8,A1
chatgpt,gpt-136.py,Simple Assignment,4,4,8,A1
chatgpt,gpt-136.py,Simple Assignment,5,5,8,A1
chatgpt,gpt-136.py,Simple Assignment,13,13,8,A1
chatgpt,gpt-136.py,Assigment with sum (total = total + 1),15,15,8,A1
chatgpt,gpt-136.py,Function with Simple argument,2,5,4,A1
chatgpt,gpt-136.py,Function with Simple argument,7,8,4,A1
chatgpt,gpt-136.py,Function with Simple argument,11,16,4,A1
chatgpt,gpt-136.py,Return,8,8,8,A1
chatgpt,gpt-136.py,Return,16,16,8,A1
chatgpt,gpt-136.py,Simple Class  Using the constructor method --> __init__,1,8,0,B1
chatgpt,gpt-136.py,Inherited Class from Vehicle,10,16,0,B1
chatgpt,gpt-137.py,Print,14,14,0,A1
chatgpt,gpt-137.py,Print,17,17,0,A1
chatgpt,gpt-137.py,Print,18,18,0,A1
chatgpt,gpt-137.py,Simple Atributte,3,3,8,A2
chatgpt,gpt-137.py,Simple Atributte,4,4,8,A2
chatgpt,gpt-137.py,Simple Atributte,5,5,8,A2
chatgpt,gpt-137.py,Simple Assignment,11,11,0,A1
chatgpt,gpt-137.py,Simple Assignment,3,3,8,A1
chatgpt,gpt-137.py,Simple Assignment,4,4,8,A1
chatgpt,gpt-137.py,Simple Assignment,5,5,8,A1
chatgpt,gpt-137.py,'pass' statement,8,8,4,B1
chatgpt,gpt-137.py,Function with Simple argument,2,5,4,A1
chatgpt,gpt-137.py,Simple Class  Using the constructor method --> __init__,1,5,0,B1
chatgpt,gpt-137.py,Inherited Class from Vehicle,7,8,0,B1
chatgpt,gpt-138.py,Print,14,14,0,A1
chatgpt,gpt-138.py,Simple Atributte,3,3,8,A2
chatgpt,gpt-138.py,Simple Atributte,4,4,8,A2
chatgpt,gpt-138.py,Simple Atributte,5,5,8,A2
chatgpt,gpt-138.py,Simple Assignment,11,11,0,A1
chatgpt,gpt-138.py,Simple Assignment,3,3,8,A1
chatgpt,gpt-138.py,Simple Assignment,4,4,8,A1
chatgpt,gpt-138.py,Simple Assignment,5,5,8,A1
chatgpt,gpt-138.py,'pass' statement,8,8,4,B1
chatgpt,gpt-138.py,Function with Simple argument,2,5,4,A1
chatgpt,gpt-138.py,Simple Class  Using the constructor method --> __init__,1,5,0,B1
chatgpt,gpt-138.py,Inherited Class from Vehicle,7,8,0,B1
chatgpt,gpt-139.py,Simple Dictionary,3,3,7,A2
chatgpt,gpt-139.py,Print,6,6,0,A1
chatgpt,gpt-139.py,Simple Atributte,4,4,12,A2
chatgpt,gpt-139.py,Simple Assignment,3,3,0,A1
chatgpt,gpt-139.py,Simple Assignment,4,4,0,A1
chatgpt,gpt-139.py,Import,1,1,0,A2
chatgpt,gpt-14.py,'range' call function,5,5,9,A2
chatgpt,gpt-14.py,Print,7,7,4,A1
chatgpt,gpt-14.py,Simple Assignment,2,2,0,A1
chatgpt,gpt-14.py,Simple For Loop,5,7,0,A1
chatgpt,gpt-140.py,Print,9,9,0,A1
chatgpt,gpt-140.py,Simple Atributte,6,6,7,A2
chatgpt,gpt-140.py,Simple Assignment,3,3,0,A1
chatgpt,gpt-140.py,Simple Assignment,6,6,0,A1
chatgpt,gpt-140.py,Import,1,1,0,A2
chatgpt,gpt-141.py,Simple Dictionary,3,3,13,A2
chatgpt,gpt-141.py,Print,11,11,0,A1
chatgpt,gpt-141.py,Simple Atributte,6,6,12,A2
chatgpt,gpt-141.py,Simple Atributte,9,9,14,A2
chatgpt,gpt-141.py,Simple Assignment,3,3,0,A1
chatgpt,gpt-141.py,Simple Assignment,6,6,0,A1
chatgpt,gpt-141.py,Simple Assignment,9,9,0,A1
chatgpt,gpt-141.py,Import,1,1,0,A2
chatgpt,gpt-142.py,Simple Dictionary,4,4,13,A2
chatgpt,gpt-142.py,Print,10,10,0,A1
chatgpt,gpt-142.py,Files --> 'open' call function,7,7,5,A2
chatgpt,gpt-142.py,Simple Atributte,8,8,4,A2
chatgpt,gpt-142.py,Simple Assignment,4,4,0,A1
chatgpt,gpt-142.py,Import,1,1,0,A2
chatgpt,gpt-142.py,With,7,8,0,B1
chatgpt,gpt-143.py,Print,21,21,0,A1
chatgpt,gpt-143.py,Simple Atributte,17,17,7,A2
chatgpt,gpt-143.py,Simple Assignment,4,14,0,A1
chatgpt,gpt-143.py,Simple Assignment,17,17,0,A1
chatgpt,gpt-143.py,Simple Assignment,20,20,0,A1
chatgpt,gpt-143.py,Import,1,1,0,A2
chatgpt,gpt-144.py,Simple Dictionary,10,14,15,A2
chatgpt,gpt-144.py,Print,22,22,0,A1
chatgpt,gpt-144.py,Simple Atributte,20,20,15,A2
chatgpt,gpt-144.py,Simple Atributte,5,5,8,A2
chatgpt,gpt-144.py,Simple Atributte,6,6,8,A2
chatgpt,gpt-144.py,Simple Atributte,7,7,8,A2
chatgpt,gpt-144.py,Simple Atributte,20,20,26,A2
chatgpt,gpt-144.py,Simple Atributte,11,11,20,A2
chatgpt,gpt-144.py,Simple Atributte,12,12,22,A2
chatgpt,gpt-144.py,Simple Atributte,13,13,21,A2
chatgpt,gpt-144.py,Simple Assignment,17,17,0,A1
chatgpt,gpt-144.py,Simple Assignment,20,20,0,A1
chatgpt,gpt-144.py,Simple Assignment,5,5,8,A1
chatgpt,gpt-144.py,Simple Assignment,6,6,8,A1
chatgpt,gpt-144.py,Simple Assignment,7,7,8,A1
chatgpt,gpt-144.py,Import,1,1,0,A2
chatgpt,gpt-144.py,Function with Simple argument,4,7,4,A1
chatgpt,gpt-144.py,Function with Simple argument,9,14,4,A1
chatgpt,gpt-144.py,Return,10,14,8,A1
chatgpt,gpt-144.py,Simple Class  Using the constructor method --> __init__,3,14,0,B1
chatgpt,gpt-145.py,Print,19,19,0,A1
chatgpt,gpt-145.py,Print,20,20,0,A1
chatgpt,gpt-145.py,Print,21,21,0,A1
chatgpt,gpt-145.py,Simple Atributte,13,13,7,A2
chatgpt,gpt-145.py,Simple Atributte,19,19,6,A2
chatgpt,gpt-145.py,Simple Atributte,20,20,6,A2
chatgpt,gpt-145.py,Simple Atributte,21,21,6,A2
chatgpt,gpt-145.py,Simple Atributte,5,5,8,A2
chatgpt,gpt-145.py,Simple Atributte,6,6,8,A2
chatgpt,gpt-145.py,Simple Atributte,7,7,8,A2
chatgpt,gpt-145.py,Simple Assignment,10,10,0,A1
chatgpt,gpt-145.py,Simple Assignment,13,13,0,A1
chatgpt,gpt-145.py,Simple Assignment,16,16,0,A1
chatgpt,gpt-145.py,Simple Assignment,5,5,8,A1
chatgpt,gpt-145.py,Simple Assignment,6,6,8,A1
chatgpt,gpt-145.py,Simple Assignment,7,7,8,A1
chatgpt,gpt-145.py,Import,1,1,0,A2
chatgpt,gpt-145.py,Function with Simple argument,4,7,4,A1
chatgpt,gpt-145.py,Simple Class  Using the constructor method --> __init__,3,7,0,B1
chatgpt,gpt-146.py,1 Nested Dictionary,1,11,0,B1
chatgpt,gpt-146.py,1 Nested Dictionary,2,10,13,B1
chatgpt,gpt-146.py,1 Nested Dictionary,3,9,17,B1
chatgpt,gpt-146.py,Simple Dictionary,5,8,18,A2
chatgpt,gpt-147.py,Print,29,29,0,A1
chatgpt,gpt-147.py,Simple Atributte,24,24,7,A2
chatgpt,gpt-147.py,Simple List Comprehension,27,27,14,C1
chatgpt,gpt-147.py,Simple Assignment,4,21,0,A1
chatgpt,gpt-147.py,Simple Assignment,24,24,0,A1
chatgpt,gpt-147.py,Simple Assignment,27,27,0,A1
chatgpt,gpt-147.py,Import,1,1,0,A2
chatgpt,gpt-148.py,4 Nested List,4,7,17,A2
chatgpt,gpt-148.py,Simple List,4,4,18,A1
chatgpt,gpt-148.py,Simple List,5,5,18,A1
chatgpt,gpt-148.py,Simple List,6,6,18,A1
chatgpt,gpt-148.py,Simple List,7,7,18,A1
chatgpt,gpt-148.py,Print,10,10,0,A1
chatgpt,gpt-148.py,Print,11,11,0,A1
chatgpt,gpt-148.py,Print,14,14,0,A1
chatgpt,gpt-148.py,Print,15,15,0,A1
chatgpt,gpt-148.py,Print,16,16,0,A1
chatgpt,gpt-148.py,Print,17,17,0,A1
chatgpt,gpt-148.py,Simple Atributte,4,4,8,A2
chatgpt,gpt-148.py,Simple Atributte,7,7,41,A2
chatgpt,gpt-148.py,Simple Atributte,15,15,25,A2
chatgpt,gpt-148.py,Simple Atributte,16,16,30,A2
chatgpt,gpt-148.py,Simple Atributte,17,17,53,A2
chatgpt,gpt-148.py,Simple Assignment,4,7,0,A1
chatgpt,gpt-148.py,Import with 'as' extension ,1,1,0,B1
chatgpt,gpt-149.py,Simple Tuple,7,7,23,A1
chatgpt,gpt-149.py,Print,10,10,0,A1
chatgpt,gpt-149.py,Print,11,11,0,A1
chatgpt,gpt-149.py,Simple Atributte,4,4,9,A2
chatgpt,gpt-149.py,Simple Atributte,7,7,8,A2
chatgpt,gpt-149.py,Simple Assignment,4,4,0,A1
chatgpt,gpt-149.py,Simple Assignment,7,7,0,A1
chatgpt,gpt-149.py,Import with 'as' extension ,1,1,0,B1
chatgpt,gpt-15.py,Print,10,10,0,A1
chatgpt,gpt-15.py,Print,15,15,0,A1
chatgpt,gpt-15.py,Simple Assignment,8,8,0,A1
chatgpt,gpt-15.py,Simple Assignment,9,9,0,A1
